Barcode,Article,Percentage,OriginalPrice
FL198825-005,FL198825,1090Flat,
FL198825-006,FL198825,1090Flat,
FL198825-007,FL198825,1090Flat,
FL198825-008,FL198825,1090Flat,
FL198825-009,FL198825,1090Flat,
FL198825-010,FL198825,1090Flat,
FL198825-011,FL198825,1090Flat,
FL198826-005,FL198826,50,
FL198826-006,FL198826,50,
FL198826-007,FL198826,50,
FL198826-008,FL198826,50,
FL198826-009,FL198826,50,
FL198826-010,FL198826,50,
FL198826-011,FL198826,50,
FL198827-005,FL198827,1090Flat,
FL198827-006,FL198827,1090Flat,
FL198827-007,FL198827,1090Flat,
FL198827-008,FL198827,1090Flat,
FL198827-009,FL198827,1090Flat,
FL198827-010,FL198827,1090Flat,
FL198827-011,FL198827,1090Flat,
FL198926-025,FL198926,50,
FL198926-027,FL198926,50,
FL198926-029,FL198926,50,
FL198926-031,FL198926,50,
FL198926-032,FL198926,50,
FL198926-034,FL198926,50,
FL199257-005,FL199257,50,
FL199257-006,FL199257,50,
FL199257-007,FL199257,50,
FL199257-008,FL199257,50,
FL199257-009,FL199257,50,
FL199257-010,FL199257,50,
FL199257-011,FL199257,50,
FL199259-005,FL199259,1090Flat,
FL199259-006,FL199259,1090Flat,
FL199259-007,FL199259,1090Flat,
FL199259-008,FL199259,1090Flat,
FL199259-009,FL199259,1090Flat,
FL199259-010,FL199259,1090Flat,
FL199259-011,FL199259,1090Flat,
FL199260-005,FL199260,50,
FL199260-006,FL199260,50,
FL199260-007,FL199260,50,
FL199260-008,FL199260,50,
FL199260-009,FL199260,50,
FL199260-010,FL199260,50,
FL199260-011,FL199260,50,
FL200193-025,FL200193,50,
FL200193-027,FL200193,50,
FL200193-029,FL200193,50,
FL200193-031,FL200193,50,
FL200193-032,FL200193,50,
FL200193-034,FL200193,50,
FL200194-025,FL200194,50,
FL200194-027,FL200194,50,
FL200194-029,FL200194,50,
FL200194-031,FL200194,50,
FL200194-032,FL200194,50,
FL200194-034,FL200194,50,
FL200553-005,FL200553,1090Flat,
FL200553-006,FL200553,1090Flat,
FL200553-007,FL200553,1090Flat,
FL200553-008,FL200553,1090Flat,
FL200553-009,FL200553,1090Flat,
FL200553-010,FL200553,1090Flat,
FL200553-011,FL200553,1090Flat,
FL200647-025,FL200647,50,
FL200647-027,FL200647,50,
FL200647-029,FL200647,50,
FL200647-031,FL200647,50,
FL200647-032,FL200647,50,
FL200647-034,FL200647,50,
FL200648-025,FL200648,50,
FL200648-027,FL200648,50,
FL200648-029,FL200648,50,
FL200648-031,FL200648,50,
FL200648-032,FL200648,50,
FL200648-034,FL200648,50,
FL200651-025,FL200651,50,
FL200651-027,FL200651,50,
FL200651-029,FL200651,50,
FL200651-031,FL200651,50,
FL200651-032,FL200651,50,
FL200651-034,FL200651,50,
FL200654-025,FL200654,50,
FL200654-027,FL200654,50,
FL200654-029,FL200654,50,
FL200654-031,FL200654,50,
FL200654-032,FL200654,50,
FL200654-034,FL200654,50,
FL200655-025,FL200655,50,
FL200655-027,FL200655,50,
FL200655-029,FL200655,50,
FL200655-031,FL200655,50,
FL200655-032,FL200655,50,
FL200655-034,FL200655,50,
FL200657-025,FL200657,1090Flat,
FL200657-027,FL200657,1090Flat,
FL200657-029,FL200657,1090Flat,
FL200657-031,FL200657,1090Flat,
FL200657-032,FL200657,1090Flat,
FL200657-034,FL200657,1090Flat,
FL200660-005,FL200660,50,
FL200660-006,FL200660,50,
FL200660-007,FL200660,50,
FL200660-008,FL200660,50,
FL200660-009,FL200660,50,
FL200660-010,FL200660,50,
FL200660-011,FL200660,50,
FL200774-005,FL200774,50,
FL200774-006,FL200774,50,
FL200774-007,FL200774,50,
FL200774-008,FL200774,50,
FL200774-009,FL200774,50,
FL200774-010,FL200774,50,
FL200774-011,FL200774,50,
FL200775-005,FL200775,50,
FL200775-006,FL200775,50,
FL200775-007,FL200775,50,
FL200775-008,FL200775,50,
FL200775-009,FL200775,50,
FL200775-010,FL200775,50,
FL200775-011,FL200775,50,
FL200776-005,FL200776,50,
FL200776-006,FL200776,50,
FL200776-007,FL200776,50,
FL200776-008,FL200776,50,
FL200776-009,FL200776,50,
FL200776-010,FL200776,50,
FL200776-011,FL200776,50,
FL200777-005-205-L,FL200777,50,
FL200777-006-205-L,FL200777,50,
FL200777-007-205-L,FL200777,50,
FL200777-008-205-L,FL200777,50,
FL200777-009-205-L,FL200777,50,
FL200777-010-205-L,FL200777,50,
FL200777-011-205-L,FL200777,50,
FL201265-005,FL201265,50,
FL201265-006,FL201265,50,
FL201265-007,FL201265,50,
FL201265-008,FL201265,50,
FL201265-009,FL201265,50,
FL201265-010,FL201265,50,
FL201265-011,FL201265,50,
FL202329-005,FL202329,50,
FL202329-006,FL202329,50,
FL202329-007,FL202329,50,
FL202329-008,FL202329,50,
FL202329-009,FL202329,50,
FL202329-010,FL202329,50,
FL202329-011,FL202329,50,
FL202335-005,FL202335,50,
FL202335-006,FL202335,50,
FL202335-007,FL202335,50,
FL202335-008,FL202335,50,
FL202335-009,FL202335,50,
FL202335-010,FL202335,50,
FL202335-011,FL202335,50,
FL202337-005,FL202337,50,
FL202337-006,FL202337,50,
FL202337-007,FL202337,50,
FL202337-008,FL202337,50,
FL202337-009,FL202337,50,
FL202337-010,FL202337,50,
FL202337-011,FL202337,50,
FL203013-005,FL203013,50,
FL203013-006,FL203013,50,
FL203013-007,FL203013,50,
FL203013-008,FL203013,50,
FL203013-009,FL203013,50,
FL203013-010,FL203013,50,
FL203013-011,FL203013,50,
FL203014-005,FL203014,50,
FL203014-006,FL203014,50,
FL203014-007,FL203014,50,
FL203014-008,FL203014,50,
FL203014-009,FL203014,50,
FL203014-010,FL203014,50,
FL203014-011,FL203014,50,
FL203015-005,FL203015,50,
FL203015-006,FL203015,50,
FL203015-007,FL203015,50,
FL203015-008,FL203015,50,
FL203015-009,FL203015,50,
FL203015-010,FL203015,50,
FL203015-011,FL203015,50,
FL203468-005,FL203468,50,
FL203468-006,FL203468,50,
FL203468-007,FL203468,50,
FL203468-008,FL203468,50,
FL203468-009,FL203468,50,
FL203468-010,FL203468,50,
FL203468-011,FL203468,50,
FL203470-005,FL203470,50,
FL203470-006,FL203470,50,
FL203470-007,FL203470,50,
FL203470-008,FL203470,50,
FL203470-009,FL203470,50,
FL203470-010,FL203470,50,
FL203470-011,FL203470,50,
FL203472-005,FL203472,50,
FL203472-006,FL203472,50,
FL203472-007,FL203472,50,
FL203472-008,FL203472,50,
FL203472-009,FL203472,50,
FL203472-010,FL203472,50,
FL203472-011,FL203472,50,
FL203473-005,FL203473,50,
FL203473-006,FL203473,50,
FL203473-007,FL203473,50,
FL203473-008,FL203473,50,
FL203473-009,FL203473,50,
FL203473-010,FL203473,50,
FL203473-011,FL203473,50,
FL203476-005,FL203476,50,
FL203476-006,FL203476,50,
FL203476-007,FL203476,50,
FL203476-008,FL203476,50,
FL203476-009,FL203476,50,
FL203476-010,FL203476,50,
FL203476-011,FL203476,50,
FL203480-025,FL203480,50,
FL203480-027,FL203480,50,
FL203480-029,FL203480,50,
FL203480-031,FL203480,50,
FL203480-032,FL203480,50,
FL203480-034,FL203480,50,
FL205038-005,FL205038,1090Flat,
FL205038-006,FL205038,1090Flat,
FL205038-007,FL205038,1090Flat,
FL205038-008,FL205038,1090Flat,
